Average Error;%NN;%NR;%SN;%SR
0,27865247955551825000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000
0,09831559944439784000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000
0,03820330607402442000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000
0,01566119606013436000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000
0,00664435205457837300000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000;1,00000000000000000000000000000000
0,00288733371893000340000000000000;1,00000000000002780000000000000000;0,99999999999997240000000000000000;1,00000000000002780000000000000000;0,99999999999997240000000000000000
0,00127718300365218850000000000000;1,00000000000006260000000000000000;0,99999999999993740000000000000000;1,00000000000006260000000000000000;0,99999999999993740000000000000000
0,00057274206571812430000000000000;1,00000000000013990000000000000000;0,99999999999986010000000000000000;1,00000000000013990000000000000000;0,99999999999986010000000000000000
0,00025965720441416696000000000000;1,00000000000030840000000000000000;0,99999999999969170000000000000000;1,00000000000030840000000000000000;0,99999999999969170000000000000000
0,00011876901682724200000000000000;1,00000000000134850000000000000000;0,99999999999865130000000000000000;1,00000000000134850000000000000000;0,99999999999865130000000000000000
0,00005472893156056714000000000000;1,00000000000292650000000000000000;0,99999999999707320000000000000000;1,00000000000292650000000000000000;0,99999999999707320000000000000000
0,00002537722581334115500000000000;1,00000000000315570000000000000000;0,99999999999684420000000000000000;1,00000000000315570000000000000000;0,99999999999684420000000000000000
0,00001183028469918141200000000000;1,00000000001353920000000000000000;0,99999999998646090000000000000000;1,00000000001353920000000000000000;0,99999999998646090000000000000000
0,00000554063346763870900000000000;1,00000000001445420000000000000000;0,99999999998554580000000000000000;1,00000000001445420000000000000000;0,99999999998554580000000000000000
